CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
7814296b38fa   ca.org1.example.com              0.00%     14.57MiB / 15.63GiB   0.09%     2.87kB / 5.93kB   0B / 446kB      9
8d5a9c9700ea   couchdb.peer0.org2.example.com   0.35%     43.48MiB / 15.63GiB   0.27%     23.6kB / 21.8kB   0B / 762kB      45
412d4e23e7ac   ca.org2.example.com              0.00%     12.46MiB / 15.63GiB   0.08%     3.33kB / 5.89kB   0B / 446kB      9
d39520ce6c9f   couchdb.peer0.org1.example.com   0.61%     43.38MiB / 15.63GiB   0.27%     24kB / 22.5kB     0B / 762kB      45
CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
4037addaf964   condescending_cori               189.60%   186.4MiB / 15.63GiB   1.16%     696B / 0B         459kB / 160kB    32
724cc02aebba   youthful_mccarthy                201.42%   133.7MiB / 15.63GiB   0.84%     806B / 0B         487kB / 32.4MB   39
26c66163cb76   peer0.org2.example.com           1.42%     49.49MiB / 15.63GiB   0.31%     70.4kB / 32.7kB   0B / 180kB       14
4168b1e5475e   peer0.org1.example.com           1.49%     24.63MiB / 15.63GiB   0.15%     71.5kB / 32.8kB   0B / 180kB       14
0a8da407b1db   orderer0.example.com             0.08%     16.19MiB / 15.63GiB   0.10%     15.1kB / 24kB     0B / 123kB       13
7814296b38fa   ca.org1.example.com              0.00%     14.57MiB / 15.63GiB   0.09%     2.87kB / 5.93kB   0B / 446kB       9
8d5a9c9700ea   couchdb.peer0.org2.example.com   0.51%     43.49MiB / 15.63GiB   0.27%     23.7kB / 21.9kB   0B / 762kB       45
412d4e23e7ac   ca.org2.example.com              0.00%     12.46MiB / 15.63GiB   0.08%     3.33kB / 5.89kB   0B / 446kB       9
d39520ce6c9f   couchdb.peer0.org1.example.com   0.60%     43.38MiB / 15.63GiB   0.27%     24kB / 22.5kB     0B / 762kB       45
CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
4037addaf964   condescending_cori               189.32%   161.8MiB / 15.63GiB   1.01%     766B / 0B         463kB / 160kB    37
724cc02aebba   youthful_mccarthy                196.72%   160.9MiB / 15.63GiB   1.01%     876B / 0B         487kB / 32.4MB   37
26c66163cb76   peer0.org2.example.com           1.52%     49.5MiB / 15.63GiB    0.31%     70.5kB / 32.7kB   0B / 180kB       14
