CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
51c9c4bfffc7   peer0.org1.example.com           2.75%     29.48MiB / 15.63GiB   0.18%     71.4kB / 32.8kB   0B / 180kB   14
9925c0f509bf   peer0.org2.example.com           2.71%     26.02MiB / 15.63GiB   0.16%     70.3kB / 32.9kB   0B / 180kB   13
ac7bf3ca469e   orderer0.example.com             0.93%     18.32MiB / 15.63GiB   0.11%     15kB / 24kB       0B / 131kB   14
28db669eb46b   couchdb.peer0.org2.example.com   0.49%     40.36MiB / 15.63GiB   0.25%     23.3kB / 21.8kB   0B / 762kB   45
414be5786117   ca.org1.example.com              0.00%     12.41MiB / 15.63GiB   0.08%     2.69kB / 5.93kB   0B / 446kB   9
f6756df652db   ca.org2.example.com              0.00%     8.461MiB / 15.63GiB   0.05%     3.3kB / 5.94kB    0B / 446kB   9
b7921d830bc7   couchdb.peer0.org1.example.com   5.99%     41.93MiB / 15.63GiB   0.26%     23.9kB / 22.5kB   0B / 762kB   45
ae34084a4e6b   youthful_black                   198.85%   104.8MiB / 15.63GiB   0.65%     486B / 0B         0B / 4.1kB   34
c7f83e8814a6   vibrant_moore                    191.33%   82.86MiB / 15.63GiB   0.52%     536B / 0B         0B / 0B      33
CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
ae34084a4e6b   youthful_black                   204.29%   118MiB / 15.63GiB     0.74%     736B / 0B         0B / 160kB   35
c7f83e8814a6   vibrant_moore                    183.98%   101MiB / 15.63GiB     0.63%     696B / 0B         0B / 160kB   36
51c9c4bfffc7   peer0.org1.example.com           1.52%     29.48MiB / 15.63GiB   0.18%     71.4kB / 32.8kB   0B / 180kB   14
9925c0f509bf   peer0.org2.example.com           1.49%     26.03MiB / 15.63GiB   0.16%     70.4kB / 32.9kB   0B / 180kB   13
ac7bf3ca469e   orderer0.example.com             0.06%     18.32MiB / 15.63GiB   0.11%     15.1kB / 24.1kB   0B / 131kB   14
28db669eb46b   couchdb.peer0.org2.example.com   3.54%     40.57MiB / 15.63GiB   0.25%     23.4kB / 21.8kB   0B / 762kB   45
414be5786117   ca.org1.example.com              0.00%     12.41MiB / 15.63GiB   0.08%     2.76kB / 5.93kB   0B / 446kB   9
f6756df652db   ca.org2.example.com              0.00%     8.461MiB / 15.63GiB   0.05%     3.37kB / 5.94kB   0B / 446kB   9
